date,direction,entry,exit,pnl_points
2026-08-03 00:00:00-04:00,long,7608.5,7645.0,36.5
2026-08-04 00:00:00-04:00,long,7735.25,7792.0,56.75
2026-08-05 00:00:00-04:00,short,7771.5,7761.75,9.75
2026-08-07 00:00:00-04:00,long,7772.25,7779.75,7.5
2026-08-13 00:00:00-04:00,long,7803.75,7824.25,20.5
2026-08-19 00:00:00-04:00,short,7744.25,7738.75,5.5
2026-08-20 00:00:00-04:00,short,7691.5,7668.75,22.75
2026-08-24 00:00:00-04:00,short,7676.75,7674.5,2.25
