date,direction,entry,pnl_points,gap_size
2026-08-09 00:00:00-04:00,long,7779.75,-15.5,7.75
2026-08-20 00:00:00-04:00,short,7738.75,4.5,3.0
2026-08-23 00:00:00-04:00,long,7691.25,11.25,7.5
2026-08-25 00:00:00-04:00,short,7674.5,4.5,3.0
2026-08-28 00:00:00-04:00,long,7741.75,5.25,3.5
